Timepoint,Log10_pvalue
3571428.5,1
357142.938,1
257030.656,1
184981.281,1
133128.375,1
95810.5859,1
68953.5078,1
49624.8477,1
35714.293,1
25703.0645,1
18498.127,1
13312.8369,1
9581.05762,1
6895.3501,-2.22949
4962.48486,-2.58863
3571.4292,-2.7051
2570.3064,-3.33524
1849.81262,-2.02721
1331.28369,-1.48008
958.105774,-1.6917
689.534973,-1.67182
496.248444,-1.57579
357.142914,-1.87499
257.03064,-2.02461
184.981262,-1.34232
133.128357,-1.09176
95.810577,-1.07458
68.953499,-0.590201
49.624844,-0.309267
35.714287,-0.201124
0,0